A_LLEGADA,A_SERVICIO,TIE_LLEGADA,TIE_SERVICIO,TIE_EXACTO_LLEGADA,TIE_INI_SERVICIO,TIE_FIN_SERVICIO,TIE_ESPERA,TIE_EN_SISTEMA
0.5838972333308178,0.28069829879685604,0.40353279979182943,0.3176187140516861,0.40353279979182943,0.40353279979182943,0.7211515138435156,0.0,0.3176187140516861
0.33204590625998787,0.5613778451876903,0.8268822078728634,0.1443402698347833,1.2304150076646927,1.2304150076646927,1.374755277499476,0.0,0.1443402698347833
0.9486380190168403,0.3310051278495256,0.039546979119601165,0.27640535293313734,1.269961986784294,1.374755277499476,1.6511606304326134,0.10479329071518206,0.3811986436483194
0.7352595064808283,0.012800248415918869,0.23065459539632285,1.0895726751878068,1.5006165821806168,1.6511606304326134,2.74073330562042,0.15054404825199663,1.2401167234398034
0.21040953400097306,0.4473466008506892,1.169053840435295,0.20110539785718382,2.669670422615912,2.74073330562042,2.941838703477604,0.07106288300450814,0.272168280861692
0.36758452202923664,0.437641254611834,0.7506202616493225,0.20658893940270762,3.4202906842652343,3.4202906842652343,3.626879623667942,0.0,0.20658893940270762
0.700209977366682,0.6479237035157732,0.2672879481387154,0.10849558276248494,3.68757863240395,3.68757863240395,3.796074215166435,0.0,0.10849558276248494
0.41401404647027507,0.7619061264249423,0.6614080679968688,0.06798298113812719,4.348986700400818,4.348986700400818,4.416969681538945,0.0,0.06798298113812719
0.5827068776833589,0.816107305804732,0.4050633779146549,0.05080235761300164,4.7540500783154735,4.7540500783154735,4.804852435928475,0.0,0.05080235761300164
0.828950750214491,0.32667954447882597,0.14069941819492207,0.27969389372217346,4.8947494965103955,4.8947494965103955,5.174443390232569,0.0,0.27969389372217346
